,frequency_mhz
21276,119.9
21276,120.25
21276,124.975
21276,121.625
21276,121.725
21276,121.9
21276,118.1
21276,118.575
21276,118.7
21276,119.35
21276,121.825
21355,123.975
21355,120.475
21355,131.55
21355,118.3
21357,118.9
21357,135.55
21357,118.1
21376,119.7
21376,123.9
21376,118.1
21377,121.0
21377,125.0
21377,125.25
21377,118.85
21377,121.9
21377,119.1
21400,119.975
21400,126.125
21400,121.6
21400,131.35
21400,121.925
21400,131.975
21400,29.38
21400,134.175
21400,118.3
21474,123.75
21474,126.125
21474,118.3
21482,118.6
21482,127.55
21482,121.6
21482,119.4
21513,119.6
21513,118.5
21513,126.0
21513,121.75
21513,118.35
21523,128.5
21523,131.0
21532,127.275
21532,129.625
21532,118.1
21553,121.075
21553,126.125
21553,123.8
21553,118.1
21553,123.25
21561,121.075
21561,131.45
21561,129.25
21593,127.225
21593,124.7
21593,119.975
21603,121.255
21617,128.8
21617,120.45
21617,121.6
21617,129.375
21617,121.9
21617,118.3
21619,127.225
21956,118.375
21956,121.9
21956,124.68
21956,118.6
22006,135.9
22006,129.275
22006,118.8
22045,125.45
22045,122.6
22045,128.2
22051,123.75
22051,119.0
22051,121.825
22051,121.7
22051,122.6
22051,118.5
22187,129.925
22187,121.2
22187,118.8
22187,131.6
22187,118.1
22230,120.7
22230,125.8
22230,118.2
22383,122.65
22383,119.7
22383,124.5
22383,127.0
22383,127.6
22383,121.9
22383,118.1
22429,128.2
22429,122.65
22429,118.9
22499,125.75
22499,127.0
22499,118.45
22499,121.65
22499,115.6
22550,123.7
22550,124.5
22550,126.2
22550,121.7
22550,121.9
22550,122.65
22550,118.1
22550,118.6
22722,128.2
22722,121.9
22722,118.3
22900,128.0
22900,121.8
22900,118.55
22960,347.6
22960,119.1
22960,126.2
22960,118.1
23165,121.3
23165,118.1
23215,347.6
23215,119.4
23215,126.8
23215,121.9
23215,118.4
23222,120.1
23306,129.5
23306,119.1
23306,121.9
23306,118.1
23375,121.3
23375,127.7
23375,121.7
23375,118.1
23882,119.7
23882,118.3
23903,119.7
23903,128.1
23903,118.1
23949,119.1
23949,113.1
23949,127.3
23949,118.1
24149,120.5
24149,114.1
24149,121.9
24149,118.1
24152,128.1
24152,119.7
24152,121.9
24152,118.1
24531,667.3
24531,119.1
24531,118.3
25586,121.3
25586,121.9
25586,118.3
25587,129.3
25587,118.65
25587,121.7
25587,118.5
25594,120.9
25594,118.6
25594,121.7
25594,118.3
25595,129.3
25595,118.625
25595,121.8
25595,120.7
25596,120.3
25596,118.675
25596,121.75
25596,121.9
25596,119.0
25598,119.7
25598,118.575
25598,121.7
25598,118.7
25667,667.3
25667,119.1
25667,121.9
25667,118.1
25709,345.2
25709,124.5
25709,121.9
25709,118.3
25738,119.9
25738,121.3
25738,126.3
25738,118.5
25757,120.5
25757,126.2
25757,126.6
25757,118.8
25788,127.7
25788,126.6
25788,121.7
25788,118.4
25902,345.2
25902,126.4
25902,127.6
25902,119.7
25944,119.7
25944,128.5
25944,118.5
25944,125.2
25944,121.9
25944,118.1
25944,125.1
26071,119.05
26071,122.6
26071,121.9
26071,126.2
26071,120.1
26071,11.3
26071,118.1
26071,124.6
26076,123.4
26076,121.9
26076,585.9
26076,119.6
26091,121.1
26091,121.9
26091,317.5
26091,118.9
26142,11.3
26142,118.4
26242,122.3
26242,126.2
26242,121.6
26242,118.7
26265,120.3
26265,121.6
26265,121.7
26265,118.6
26322,127.0
26322,124.0
26322,120.9
26322,120.1
26322,118.1
26377,124.3
26377,128.7
26377,121.7
26377,118.3
26420,124.7
26420,121.9
26420,125.4
26420,127.3
26420,119.2
26454,119.3
26454,119.6
26454,118.3
26510,121.2
26510,121.2
26570,126.6
26570,128.5
26570,118.1
32021,122.7
32042,118.525
32042,124.2
32042,122.8
32294,123.9
32294,118.0
32294,119.2
32294,123.9
32294,121.9
32294,120.3
32294,123.775
32294,122.95
32303,118.525
32303,124.85
32303,34.5
32303,122.6
32303,123.0
32313,119.3
32313,113.1
32313,127.55
32313,125.65
32313,121.8
32313,143.8
32313,34.46
32313,141.55
32313,139.3
32313,118.4
32326,118.1
32326,126.925
32326,126.925
32326,128.725
32326,132.65
32326,120.825
32330,119.15
32330,132.75
32330,118.7
32330,121.9
32330,118.7
32330,122.95
32363,121.15
32363,118.85
32363,121.65
32363,118.3
32363,121.9
32363,122.65
32363,118.3
32363,122.95
32416,118.35
32416,119.65
32416,118.1
32416,125.0
32416,121.65
32416,116.9
32416,30.697
32416,119.1
32416,122.95
32425,118.8
32425,128.875
32425,124.4
32425,125.5
32425,121.7
32425,36.8
32425,122.55
32425,121.0
32425,122.95
32453,25.602
32453,125.4
32453,27.35
32453,125.4
32453,121.6
32453,138.5
32453,23.98
32453,32.1
32453,140.875
32453,119.4
32454,119.9
32454,37.58
32454,121.8
32454,37.362
32454,31.1
32454,37.22
32454,128.25
32471,32.58
32471,123.95
32471,118.15
32471,121.75
32471,35.9
32471,123.95
32471,121.9
32471,41.9
32471,138.55
32471,122.3
32471,120.3
32471,122.95
32496,118.925
32496,127.75
32496,127.75
32496,135.9
32496,121.9
32496,41.2
32496,31.1
32496,122.2
32496,120.7
32496,122.95
32501,123.8
32501,119.4
32501,125.675
32501,121.7
32501,38.7
32501,28.73
32501,122.2
32501,119.9
32501,122.95
32507,119.2
32507,126.3
32507,121.9
32507,121.9
32507,122.55
32507,124.2
32507,122.95
32529,125.2
32529,138.55
32529,128.7
32529,121.75
32529,119.2
32529,23.98
32529,130.65
32529,139.85
32529,118.65
32529,122.95
32533,118.05
32533,135.35
32533,135.35
32533,124.6
32533,121.65
32533,108.2
32533,124.6
32533,122.95
32537,120.6
32537,135.1
32537,126.05
32537,118.4
32537,121.9
32537,138.1
32537,32.29
32537,122.2
32537,118.6
32537,122.95
32542,119.6
32542,123.9
32542,125.9
32542,128.05
32542,121.7
32542,29.87
32542,41.5
32542,122.2
32542,118.1
32542,122.95
32543,118.25
32543,135.0
32543,121.65
32543,133.0
32543,121.9
32543,134.05
32543,122.4
32543,124.725
32543,122.95
32569,126.15
32569,135.35
32569,124.7
32569,133.2
32569,122.6
32569,120.5
32583,119.0
32583,115.1
32583,118.05
32583,126.75
32583,121.9
32583,122.2
32583,119.4
32583,122.95
32622,124.15
32622,120.15
32622,119.75
32622,121.9
32622,122.65
32622,119.5
32622,122.95
32632,126.075
32632,115.2
32632,33.86
32632,132.05
32632,121.9
32632,25.21
32632,34.46
32632,37.6
32632,128.65
32670,119.2
32670,122.5
32670,119.85
32670,120.95
32670,118.3
32670,119.2
32670,121.7
32670,41.5
32670,118.3
32670,122.95
32677,30.692
32677,119.3
32677,124.75
32677,118.0
32677,120.7
32677,121.9
32677,34.46
32677,134.1
32677,37.22
32677,122.2
32677,126.0
32677,122.95
32681,119.7
32681,134.05
32681,124.15
32681,125.45
32681,118.7
32681,121.6
32681,122.55
32681,118.7
